,Artists,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,ben e. king,stand by me,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46
1,percy sledge,when a man loves a woman,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903
2,the rolling stones,(i can't get no) satisfaction - mono version,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603
3,sam cooke,(what a) wonderful world,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518
4,van morrison,brown eyed girl,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
5,aretha franklin,i say a little prayer,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03
6,the beatles,here comes the sun - remastered,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
7,marvin gaye,ain't no mountain high enough,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037
8,the beach boys,surfin' u.s.a. - remastered 2001,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231
9,otis redding,(sittin' on) the dock of the bay,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981
10,sonny & cher,i got you babe,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533
11,the monkees,daydream believer,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683
12,bee gees,to love somebody,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43
13,the beach boys,god only knows - mono / 1997 remastered,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072
14,elvis presley,suspicious minds,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21
15,four tops,"i can't help myself (sugar pie, honey bunch)",0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004
16,simon & garfunkel,"mrs. robinson - from ""the graduate"" soundtrack",0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033
17,dusty springfield,son of a preacher man,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624
18,the monkees,i'm a believer - 2006 remaster,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106
19,the drifters,under the boardwalk,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792
20,jackie wilson,(your love keeps lifting me) higher & higher,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574
21,the supremes,you can't hurry love,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912
22,the beach boys,good vibrations - remastered 2001,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912
23,dusty springfield,i only want to be with you,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946
24,stevie wonder,for once in my life,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121
25,harry nilsson,"everybody's talkin' - from ""midnight cowboy""",0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103
26,simon & garfunkel,homeward bound,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928
27,"peter, paul and mary",leaving on a jet plane,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45
28,creedence clearwater revival,proud mary,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745
29,marvin gaye,i heard it through the grapevine,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287
30,the spencer davis group,gimme some lovin' - single mix,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403
31,the righteous brothers,you've lost that lovin' feelin',0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108
32,sam cooke,cupid,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326
33,them,gloria (feat. van morrison) - stereo version,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118
34,bob dylan,"lay, lady, lay",0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746
35,martha reeves & the vandellas,dancing in the street - single version,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203
36,the drifters,save the last dance for me,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453
37,sly & the family stone,everyday people,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524
38,the beatles,eight days a week - remastered 2009,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134
39,the supremes,where did our love go - stereo version,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676
40,the beach boys,wouldn't it be nice - mono / remastered,0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318
41,the mamas & the papas,california dreamin' - single version,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479
42,sam cooke,another saturday night,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094
43,petula clark,downtown,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515
44,stevie wonder,a place in the sun,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784
45,roy orbison,"oh, pretty woman",0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433
46,the drifters,up on the roof,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795
47,wilson pickett,in the midnight hour,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919
48,the band,the weight - remastered,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942
49,the beach boys,don't worry baby - remastered 2001,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242
50,tom jones,it's not unusual,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499
51,simon & garfunkel,the boxer,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017
52,the mamas & the papas,"monday, monday - single version",0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553
53,stone poneys,different drum,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213
54,wilson pickett,mustang sally,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438
55,the byrds,mr. tambourine man,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336
56,sam cooke,twistin' the night away,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891
57,dionne warwick,do you know the way to san jose,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269
58,tom jones,green green grass of home,0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363
59,creedence clearwater revival,bad moon rising,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946
60,the rolling stones,honky tonk women - mono version,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602
61,love affair,everlasting love,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521
